City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
320,Karratha,41.3278,2.0947,55.0,71,0,11.5,ES
321,Karratha,5.9667,80.4167,83.28,78,41,8.19,LK
322,Karratha,33.3597,129.5531,68.0,48,0,4.61,JP
323,Karratha,45.5234,-122.6762,66.2,32,75,6.91,US
324,Karratha,6.1241,81.1185,80.6,100,20,6.91,LK
325,Karratha,29.9576,122.298,60.31,97,100,1.59,CN
326,Karratha,35.6225,-117.6709,71.6,5,1,6.91,US
327,Karratha,34.2576,-88.7034,48.2,49,1,5.75,US
328,Karratha,56.45,138.1667,30.34,68,49,1.72,RU
329,Karratha,52.7011,118.8077,37.51,47,97,1.88,RU
330,Karratha,54.9376,83.1825,23.0,68,0,8.95,RU
331,Karratha,6.1333,102.2386,86.0,84,40,2.3,MY
332,Karratha,32.6667,-17.1,57.99,72,25,3.0,PT
333,Karratha,-3.1019,-60.025,77.0,94,0,3.44,BR
334,Karratha,40.6667,31.5833,35.24,98,100,3.44,TR
335,Karratha,13.0917,-1.0844,78.15,13,6,9.33,BF
336,Karratha,-27.31,31.892,63.86,90,100,2.75,SZ
337,Karratha,44.0582,-121.3153,63.0,20,1,5.75,US
338,Karratha,63.3167,30.0167,30.16,93,93,10.4,FI
339,Karratha,-20.0064,57.6608,75.99,85,13,1.99,MU
340,Karratha,-17.3667,30.2,56.68,89,90,3.96,ZW
341,Karratha,64.8569,-147.8028,26.01,68,90,13.8,US
342,Karratha,54.4299,31.8996,42.35,93,80,6.78,RU
343,Karratha,-2.5167,32.9,65.62,91,71,6.15,TZ
344,Karratha,5.1794,7.7108,77.31,88,91,3.94,NG
345,Karratha,4.9333,-52.3333,79.0,83,40,4.61,GF
346,Karratha,-23.35,47.6,69.84,88,62,1.9,MG
347,Karratha,-43.3002,-65.1023,58.78,90,100,13.06,AR
348,Karratha,60.1432,-45.2371,35.38,88,100,10.98,GL
349,Karratha,37.2651,35.6572,57.99,93,75,5.75,TR
350,Karratha,18.7369,7.3853,68.86,13,0,5.01,NE
351,Karratha,69.3,139.9,5.52,82,100,3.11,RU
352,Karratha,2.8197,-60.6733,82.4,57,0,10.36,BR
353,Karratha,39.5751,16.6349,50.0,74,0,6.64,IT
354,Karratha,36.9559,36.2,57.99,79,42,17.0,TR
355,Karratha,30.8946,49.4092,71.6,45,0,5.5,IR
356,Karratha,28.4532,117.9686,74.41,84,100,3.36,CN
357,Karratha,36.2083,-115.9839,68.0,10,0,1.57,US
358,Karratha,37.7167,-25.4333,53.6,87,20,5.75,PT
359,Karratha,56.8479,124.9104,26.55,75,85,5.14,RU
360,Karratha,22.8134,115.8257,82.0,80,94,5.01,CN
361,Karratha,-6.6447,-51.995,71.62,98,59,0.63,BR
362,Karratha,-20.2078,57.7625,75.99,100,75,6.91,MU
363,Karratha,-12.7333,-69.1833,71.01,98,100,0.36,PE
364,Karratha,18.1725,120.5953,87.8,70,20,5.75,PH
365,Karratha,50.4297,21.7508,50.0,93,0,2.3,PL
366,Karratha,22.2394,68.9678,79.92,73,0,10.63,IN
367,Karratha,-20.3167,118.5667,95.0,23,0,14.97,AU
368,Karratha,29.0331,21.5482,50.43,68,0,6.93,LY
369,Karratha,-22.9575,14.5053,62.6,82,52,6.91,NA
370,Karratha,50.1186,-5.5371,50.0,87,20,16.11,GB
371,Karratha,51.3223,42.7678,37.0,86,85,10.27,RU
372,Karratha,34.4133,-119.861,68.0,48,1,4.61,US
373,Karratha,41.5284,-87.4237,37.99,41,90,12.66,US
374,Karratha,54.2331,-125.7533,41.0,45,100,11.5,CA
375,Karratha,66.9395,-53.6735,24.19,81,100,20.98,GL
376,Karratha,6.3032,120.5836,82.17,77,100,11.97,PH
377,Karratha,21.1167,70.1167,80.2,69,2,9.01,IN
378,Karratha,19.2167,-98.8083,71.6,13,40,17.27,MX
379,Karratha,-20.5167,57.5167,75.2,100,75,6.91,MU
380,Karratha,42.0751,-72.0334,54.0,98,100,1.99,US
381,Karratha,21.4022,-157.7394,82.4,73,1,11.5,US
382,Karratha,-41.0667,145.9167,70.83,57,100,12.57,AU
383,Karratha,-14.7833,24.8,57.24,91,17,4.79,ZM
384,Karratha,29.4603,119.8861,75.15,78,92,0.13,CN
385,Karratha,-20.4667,22.7167,65.8,46,96,5.91,BW
386,Karratha,65.5833,-171.0,3.96,80,12,3.27,RU
387,Karratha,12.524,-70.027,80.6,74,20,20.71,AW
388,Karratha,37.12,-93.4802,44.01,48,1,8.05,US
389,Karratha,48.0056,91.6419,30.33,36,73,4.32,MN
390,Karratha,53.45,125.8,37.56,66,68,5.32,RU
391,Karratha,45.5198,-123.1107,64.4,39,1,4.61,US
392,Karratha,54.0524,-128.6534,39.0,89,100,6.49,CA
393,Karratha,31.3167,-113.5333,73.99,36,7,7.0,MX
394,Karratha,-35.1667,173.1667,67.03,71,33,10.2,NZ
395,Karratha,-38.1,176.7,73.99,52,45,4.0,NZ
396,Karratha,5.7667,73.3833,84.22,72,38,10.98,MV
397,Karratha,21.8667,73.5,78.8,73,13,6.91,IN
398,Karratha,70.0311,20.9714,34.9,93,100,13.85,NO
399,Karratha,-8.0539,-34.8811,82.4,81,75,3.44,BR
400,Karratha,36.6167,101.7667,35.4,76,100,7.2,CN
401,Karratha,25.5198,90.2201,77.67,73,35,6.2,IN
402,Karratha,34.9833,139.8667,64.4,72,40,12.66,JP
403,Karratha,68.2191,-135.0107,3.2,72,100,6.91,CA
404,Karratha,10.9995,122.6711,85.57,67,100,15.55,PH
405,Karratha,1.3292,172.9752,86.0,79,75,10.36,KI
406,Karratha,-0.3582,42.5454,80.58,82,10,11.45,SO
407,Karratha,5.4033,125.4636,82.65,77,93,18.52,PH
408,Karratha,-9.5402,16.341,62.56,96,93,3.33,AO
409,Karratha,-21.4803,-56.1381,71.98,56,83,4.47,BR
410,Karratha,69.4865,88.3972,-12.59,80,12,6.22,RU
411,Karratha,50.8855,45.488,32.13,82,55,10.07,RU
412,Karratha,-17.7833,-57.7667,78.85,61,82,1.99,BO
413,Karratha,-6.3424,106.1045,80.6,78,40,16.11,ID
414,Karratha,47.9714,80.4392,30.45,71,83,9.86,KZ
415,Karratha,-2.5744,150.7967,83.61,69,39,1.7,PG
416,Karratha,18.217,-63.0578,77.0,69,20,17.27,AI
417,Karratha,51.6829,108.7143,34.95,43,100,4.74,RU
418,Karratha,-20.2333,164.0167,79.16,71,100,9.44,NC
419,Karratha,9.6833,39.5333,48.38,47,81,4.94,ET
420,Karratha,36.6177,-121.9166,75.2,20,1,3.44,US
421,Karratha,32.6578,-114.4119,80.6,8,1,9.22,US
422,Karratha,51.9326,43.4978,35.26,87,95,11.72,RU
423,Karratha,7.8167,-80.4,82.4,69,20,11.5,PA
424,Karratha,59.3833,143.3,27.41,67,1,14.25,RU
425,Karratha,14.8961,-24.4956,70.05,76,37,7.61,CV
