City_ID,Hotel Name,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
533,,533,Karratha,29.0361,114.5636,64.78,93,100,2.84,CN
535,,535,Karratha,7.9868,117.0645,77.04,87,100,3.98,PH
538,,538,Karratha,16.1525,36.2032,75.85,63,20,11.81,SD
541,,541,Karratha,11.7751,-72.4445,79.56,68,45,21.3,CO
543,,543,Karratha,25.7,100.1833,63.81,48,7,4.14,CN
546,,546,Karratha,9.25,0.7833,75.7,28,58,3.38,TG
547,,547,Karratha,8.8833,11.3667,77.54,17,100,4.92,NG
548,,548,Karratha,11.2833,-15.8333,76.24,70,1,16.67,GW
549,,549,Karratha,-8.4192,20.7447,63.93,97,100,1.72,AO
550,,550,Karratha,19.3,-70.35,73.4,88,40,8.05,DO
551,,551,Karratha,-31.393,-58.0209,62.01,79,0,6.38,AR
552,,552,Karratha,-21.3667,55.6167,78.8,78,20,12.66,RE
554,,554,Karratha,-34.6833,150.8667,75.99,59,1,3.0,AU
559,,559,Karratha,-21.6403,-41.0511,71.31,91,39,9.75,BR
568,,568,Karratha,28.147,-15.6502,68.0,73,40,9.22,ES
571,,571,Karratha,-6.8367,-79.9342,68.0,86,73,4.0,PE
572,,572,Karratha,38.421,-121.4238,75.2,22,1,4.61,US
577,,577,Karratha,1.1983,-70.1733,72.12,98,100,1.7,CO
578,,578,Karratha,26.326,43.975,71.6,56,20,10.36,SA
580,,580,Karratha,-26.1775,-58.1781,66.2,88,0,4.61,AR
582,,582,Karratha,-36.0333,146.3833,79.0,42,21,4.18,AU
583,,583,Karratha,-14.2836,-39.8428,72.19,97,47,0.63,BR
584,,584,Karratha,13.6017,26.6876,67.32,16,5,14.34,SD
585,,585,Karratha,-9.7024,33.2697,62.44,95,91,1.79,MW
586,,586,Karratha,26.1547,50.6206,71.6,68,0,4.61,BH
590,,590,Karratha,27.9167,96.1667,79.16,50,75,2.55,IN
591,,591,Karratha,-34.6177,-68.3301,65.28,51,34,5.3,AR
593,,593,Karratha,22.55,-105.75,67.71,75,100,4.85,MX
594,,594,Karratha,4.1213,43.8894,71.6,81,39,10.45,SO
596,,596,Karratha,-7.3333,-75.0167,72.09,97,83,1.72,PE
597,,597,Karratha,9.3333,-82.25,66.99,84,79,8.99,PA
598,,598,Karratha,-20.3297,-40.2925,71.6,94,75,2.3,BR
601,,601,Karratha,39.1502,-123.2078,75.2,22,1,1.66,US
607,,607,Karratha,-1.9005,11.905999999999999,65.73,98,100,2.95,GA
610,,610,Karratha,37.5683,126.9778,68.0,22,0,12.66,KR
611,,611,Karratha,18.3851,42.4509,60.8,55,0,4.61,SA
618,,618,Karratha,39.3558,-9.3811,61.0,80,100,8.01,PT
619,,619,Karratha,-30.6733,-51.3958,65.08,80,27,7.65,BR
622,,622,Karratha,-7.2833,-76.8,69.96,92,39,1.66,PE
625,,625,Karratha,18.0858,-15.9785,69.8,64,48,17.27,MR
631,,631,Karratha,-45.8742,170.5036,60.01,64,35,4.0,NZ
633,,633,Karratha,5.8808,-10.0467,75.2,94,89,4.41,LR
635,,635,Karratha,-9.1667,-60.6333,71.65,98,97,0.87,BR
643,,643,Karratha,-25.2986,152.8535,77.0,73,9,7.0,AU
646,,646,Karratha,42.0304,-8.1588,69.8,37,0,14.97,PT
648,,648,Karratha,-39.0333,-67.5833,68.0,56,0,13.8,AR
649,,649,Karratha,-14.8031,36.5372,60.82,98,16,2.13,MZ
650,,650,Karratha,-0.7193,8.7815,76.01,84,100,8.97,GA
653,,653,Karratha,-9.8756,-56.0861,70.75,96,93,1.81,BR
654,,654,Karratha,-25.0147,-47.9267,69.28,71,29,4.27,BR
659,,659,Karratha,-0.4139,-65.0192,73.38,98,100,0.67,BR
667,,667,Karratha,4.6228,21.8865,72.7,72,67,2.82,CF
669,,669,Karratha,15.5181,73.7626,77.0,83,20,6.91,IN
670,,670,Karratha,26.6845,-80.6676,73.99,87,97,2.8,US
671,,671,Karratha,37.4636,-122.4286,77.0,36,1,1.21,US
672,,672,Karratha,-16.8392,36.9856,62.38,96,27,3.0,MZ
675,,675,Karratha,-25.1667,46.0833,69.8,79,49,9.8,MG
677,,677,Karratha,27.4667,75.6,78.73,10,0,11.43,IN
